date,amount,description,category,payment_mode
2025-07-07,5575.28,AUTOPEY ADOBE 544256,Bills & Utilities,AutoDebit
2023-07-01,6263.21,TESCO STORES 750585,Groceries,Debit Card
2023-08-14,1223.1,Alert: ACH DEBIT FLIPKART 237217,Bills & Utilities,ACH
2023-07-02,5397.7,INSURANCE PREMIUM PAYTM 266238,Bills & Utilities,Digital Wallet
2024-01-12,9624.18,SHELL MIAMI TXN 738980,Fuel,Debit Card
2023-10-05,13310.02,Credited ALDI 329149,Groceries,Debit Card
2023-03-26,10246.32,VENMO PAYMENT 410560,Transfer,UPI
2023-03-21,13841.29,IRCTC E-TICKET 59870,Travel,Net Banking
2024-09-06,1492.24,GAS BILL 686887,Bills & Utilities,Net Banking
2023-12-30,14432.66,OLA/UBER RIDE 284315,Travel,UPI
2023-03-11,9028.46,IRCTC E-TICKET 823769,Travel,Net Banking
2024-06-11,10275.85,MAKEMYTRIP 533555,Travel,Credit Card
2023-09-10,11743.18,RECHARGE Vodafone 243020,Bills & Utilities,UPI
2025-10-21,13050.04,GOIBIBO HYDERABAD TXN 871010,Shopping,Debit Card
2025-11-05,14457.98,SPOTIFY *SUBSCRIPTION 259518,Entertainment,Card
2024-05-15,6571.71,RECHARGE Vodafone 688144,Bills & Utilities,UPI
2023-04-24,6662.8,Debited PAYTM-TO-PAYTM 269214,Shopping,UPI
2024-08-19,10179.12,STARBUCKS PUNE POS 463886,Food & Dining,Card Present
2025-09-20,14288.67,GOOGLE *PLAY 114413 *ONLINE,Entertainment,Credit Card
2023-12-23,12611.78,UPI/472976/STARBUCKS,Shopping,UPI
2023-03-14,14387.43,IRCTC 238026 INDIAN RAIL,Travel,Net Banking
2024-04-30,8119.9,KFC MUMBAI TXN 187062,Food & Dining,Debit Card
2025-11-12,12122.43,Credited TESCO STORES 966167,Groceries,Debit Card
2025-06-24,10930.87,MCDONALDS SAN FRANCISCO POS 999865,Food & Dining,Card Present
2024-12-25,10567.37,OLA/UBER RIDE 614821,Travel,UPI
2024-10-06,3230.19,SUBSCRIPTION AMAZON PRIME 16887,Entertainment,Card
2023-08-23,12590.8,EASYJET 279433,Travel,Credit Card
2025-09-28,5968.04,IMPS TRANSFER TO TATACLIQ 894756,Shopping,IMPS
2023-10-04,7967.09,CARREFOUR LONDON TXN 14475,Shopping,Debit Card
2023-05-03,14545.08,APPLE.COM/BILL 729265,Entertainment,Credit Card
2024-04-23,9357.89,Credited SPOTIFY *SUBSCRIPTION 218635,Entertainment,Card
2024-12-08,4365.79,IRCTC 220647 INDIAN RAIL,Travel,Net Banking
2023-03-01,12063.37,UPI/399665/MAKEMYTRIP,Shopping,UPI
2025-11-08,13578.54,AUTOPAY AMZN PRIME 970871,Entertainment,AutoDebit
2023-08-30,5326.07,AMZN.COM/BILL 706866 *CARD,Shopping,Card Present
2024-11-30,2765.27,TESCO STORES 12161,Groceries,Debit Card
2025-01-07,12974.69,AMZN MKTP INDIA 601019,Shopping,Credit Card
2025-06-07,555.27,DMART 906901,Groceries,Debit Card
2025-03-14,9251.52,Debited AMZN MKTP INDIA 103336,Shopping,Credit Card
2023-07-06,1665.5,SUBWAY CHICAGO POS 48855 *POS,Food & Dining,Card Present
2024-08-04,14877.58,Txn: TARGET STORE53 778874,Shopping,Credit Card
2025-06-15,10647.02,LIDL 829091,Groceries,Debit Card
2023-10-03,9954.2,AMZN MKTP EUROPE 710305,Shopping,Credit Card
2023-01-21,4151.27,JIO RECHARGE 933082,Bills & Utilities,Net Banking
2024-08-12,11061.99,EASYJET 492559,Travel,Credit Card
2025-06-29,552.78,OLA/UBER RIDE 12376 *POS,Travel,Credit Card
2024-05-23,6356.13,LIDL 263035,Groceries,Debit Card
2024-09-19,12781.09,TESCO STORES 237184,Groceries,Debit Card
2023-08-19,5347.5,JIO RECHARGE 587146,Bills & Utilities,Net Banking
2024-03-23,3079.85,Txn: LIDL 938772,Groceries,Debit Card
2023-09-22,12748.22,SUBSCRIPTION AMAZON PRIME 455986,Entertainment,Card
2025-07-16,9602.93,Txn: MAKEMYTRIP HYDERABAD TXN 274063,Shopping,Debit Card
2025-03-06,13162.67,Credited LIDL 794269,Groceries,Debit Card
2024-11-07,1310.84,Credited PAYTM-TO-RAZORPAY 961421,Shopping,Wallet
2025-09-17,10575.23,Txn: KFC MUMBAI TXN 344397,Food & Dining,Debit Card
2023-01-25,501.25,LIDL 747494,Groceries,Debit Card
2025-02-25,4061.78,SUBSCRIPTION AMAZON PRIME 32323,Entertainment,Card
2024-08-17,8254.46,AMZN MKTP INDIA 710280,Shopping,Credit Card
2023-01-02,4780.63,STRIPE*NETFLIX 527899 *POS,Shopping,Card Present
2025-02-12,619.97,IRCTC E-TICKET 432194,Travel,Net Banking
2025-07-30,11164.09,VENMO PAYMENT 171024,Transfer,UPI
2024-03-17,218.73,HP PETROL PUMP CHICAGO TXN 174725,Fuel,Debit Card
2025-01-02,584.14,STARBUCKS HYDERABAD POS 789079,Food & Dining,Card Present
2023-08-02,5286.41,MAKEMYTRIP 169659,Travel,Credit Card
2025-09-23,10960.27,GOOGLE *PLAY 309105,Entertainment,Credit Card
2025-03-31,12240.49,IRCTC 69962 INDIAN RAIL,Travel,Net Banking
2023-04-20,12237.59,OLA/UBER RIDE 753138,Travel,UPI
2023-06-14,11059.34,LIDL 914148,Groceries,Debit Card
2023-01-20,9855.26,Credited UPI/894752/AMAZON,Shopping,UPI
2025-08-07,6576.03,BIG BAZAAR 299024,Groceries,Debit Card
2023-05-09,13987.11,UPI/864894/AMAZON,Shopping,UPI
2023-09-06,10476.77,CARREFOUR 982735,Groceries,Debit Card
2025-05-05,8764.64,APPLE.COM/BILL 27007,Entertainment,Credit Card
2023-11-04,5750.86,ZOMATO NY TXN 266430,Food & Dining,UPI
2023-12-07,2822.98,AMZN MKTP GLOBAL 48258,Shopping,Credit Card
2024-07-25,9851.11,NETFLIX.COM/BILL 178818,Entertainment,Credit Card
2025-07-18,13800.64,ATM CASH WITHDRAWAL HDFC ATM ATM 763489,Cash Withdrawal,ATM
2024-03-31,12531.81,AMAZON PAY *SBI 690150,Shopping,Wallet
